ds,yhat,yhat_lower,yhat_upper,trend
2017-12-01,3777.723059875678,1119.9967855162463,6295.939177196209,2061.6368220002214
2017-12-02,3429.274208116261,1027.474392384543,6012.501313558709,2062.6397875475436
2017-12-03,3554.2989403515185,912.0626962104016,5928.489580120752,2063.6427530948663
2017-12-04,3702.0075043550796,1360.0231206662324,6385.660941369901,2064.6457186421885
2017-12-05,3059.3626920099955,582.068030094264,5614.716557577863,2065.6486841895107
2017-12-06,2089.1212241056614,-441.6507310723924,4780.464985572352,2066.651649736833
2017-12-07,3218.6660116999656,601.945930886179,5825.743469718226,2067.6546152841556
2017-12-08,3700.138519065518,1229.5669515678492,6216.177630352183,2068.657580831478
2017-12-09,3363.404481381349,992.113795682592,6044.69228512688,2069.6605463788
2017-12-10,3497.8168912613346,608.9698448762401,6167.754028886081,2070.6635119261227
2017-12-11,3651.946821208733,1200.572224359652,6032.269516092117,2071.6664774734445
2017-12-12,3012.186561265731,371.3769831861194,5686.921822698372,2072.669443020767
2017-12-13,2040.8071615283754,-477.1035231555986,4685.743673209826,2073.67240856809
2017-12-14,3164.8052125708996,408.4654969646558,5668.115819021299,2074.6753741154116
2017-12-15,3636.0476797932183,1078.4065831991122,6193.0444991278155,2075.6783396627343
2017-12-16,3284.2476746014922,618.7469578246317,5811.228378758468,2076.681305210057
2017-12-17,3398.7347556025347,945.5172168730738,6030.597563792017,2077.684270757379
2017-12-18,3528.1900656097387,918.0576900769315,6120.738786742442,2078.6872363047014
2017-12-19,2859.2505905005723,434.9856439498973,5411.88290997168,2079.690201852024
2017-12-20,1854.5645116813223,-797.4322069191335,4388.181680618702,2080.6931673993463
2017-12-21,2941.6324478716983,438.53487538838135,5595.318543518101,2081.6961329466685
2017-12-22,3372.9434488809775,760.1854017216439,5843.6634750306375,2082.6990984939907
2017-12-23,2978.938756037359,472.4170274198756,5530.370218920604,2083.7020640413134
2017-12-24,3049.7671383356455,447.7248232962732,5594.003630038269,2084.7050295886356
2017-12-25,5006.0425721464235,2560.5461119679785,7626.985988146449,2085.707995135958
2017-12-26,2422.2277653898445,-223.0755706465824,5012.724975026327,2086.7109606832805
2017-12-27,1375.0694090174902,-1271.4576590570348,4044.4338949326957,2087.7139262306027
2017-12-28,2422.0146634945027,-256.2177068789302,4899.999180635446,2088.716891777925
2017-12-29,2816.524072921583,307.4104452208726,5157.879234519131,2089.7198573252476
2017-12-30,2389.971027905554,-308.89588733855203,4958.909240740394,2090.72282287257
2017-12-31,2433.3733409191354,-53.34031648325079,5046.894928524316,2091.725788419892
2018-01-01,1448.8090161179398,-1190.1782132858878,4097.787468714858,2092.7287539672143
2018-01-02,1769.3741635032038,-881.2813412113874,4100.952787844081,2093.731719514537
